Trial,ID,order_hb,arena_hb,act_hb,exp_hb,idate.x,JDate_hb,order_ym,arena_ym,act_ym,soc_ym,idate.y,JDate_ym,sex,min.ta,max.ta,dawn.ta,group.size,mass,fa,total.inf,total.areas,wing.inf,fur.inf,wing.areas,fur.areas,p.zero,sex_pz
4,0006DE9621,9,1,2.56512490740391,-1.81260221141461,2014-08-06,218,2,A,-1.68818273633045,-0.17031422451078,2014-08-07,219,F,17.6,31.9,20.7,6,9.4,38.6,0.0309,67,0.0239,0.0625,50,17,no,F
4,0006DEADF3,2,2,1.10813324298341,0.00650751129990113,2014-08-05,217,10,A,-0.584076668607066,-0.91772059634801,2014-08-08,220,F,17.6,31.9,20.7,7,10.5,40.1,0.0275,39,0.0145,0.0844,21,18,no,F
4,0006E9D973,3,1,2.54301218990874,0.167109866704004,2014-08-05,217,15,B,3.21139939997468,1.05673992540401,2014-08-08,220,M,17.6,31.9,20.7,6,8.3,37.7,0.0229,24,0.0114,0.0689,8,16,no,F
4,0006EA32D0,13,1,0.647655543863295,0.712682992205554,2014-08-06,218,5,B,2.12917809432229,-2.63408852470821,2014-08-08,220,M,17.6,31.9,20.7,6,7.8,37.5,0.0323,32,0.0202,0.0959,23,9,no,F
4,0006F1FA46,11,1,1.11540517099511,0.79994108385413,2014-08-06,218,3,B,2.19815580121322,-2.53718752196335,2014-08-07,219,F,17.6,31.9,20.7,6,7.8,38,0.0841,38,0.0569,0.2038,23,15,no,F
4,0006F23B1E,6,2,-1.08736899237843,2.00565373222881,2014-08-06,218,14,A,0.811856426604909,-0.297310478440691,2014-08-08,220,F,17.6,31.9,20.7,3,10.1,37.7,0.1706,42,0.1639,0.1937,26,16,no,F
5,00069D10B5,6,1,0.878175429985208,-1.62829350580777,2014-08-09,221,11,B,3.2114213284094,1.05713746263551,2014-08-10,222,F,13.5,30.2,15.1,15,7.5,37.3,0.0166,32,0.0099,0.061,25,7,no,M
5,0006A9474D,1,2,2.6267739384947,0.738682734415743,2014-08-08,220,10,A,-1.00021138997774,0.12008323424094,2014-08-10,222,F,13.5,30.2,15.1,15,8.1,37.6,0.0264,27,0.0218,0.0541,15,12,no,M
5,0006C75771,13,2,0.115307780002478,0.553922803681319,2014-08-09,221,14,A,2.96281895691663,1.10891595803566,2014-08-10,222,F,13.5,30.2,15.1,15,8.3,38.8,0.1554,71,0.1189,0.3643,55,16,no,M
5,0006C7597D,11,2,-0.477926969518466,-1.38129783202718,2014-08-09,221,13,B,2.90649782855476,1.13355985525999,2014-08-10,222,M,13.5,30.2,15.1,15,7.2,37.5,0.0218,39,0.0115,0.0887,24,15,no,M
