"","ID","order","arena","date","act","exp"
"71","0006E9EB7C",8,1,"15-Aug-14",-1.71672325818291,0.554600256301727
"72","0006E93493",9,2,"15-Aug-14",2.60555760360477,0.605347517720328
"73","0006F23306",10,1,"15-Aug-14",3.1821940863081,1.64129961921886
"74","0006C7566C",11,2,"15-Aug-14",-0.648271694374267,-1.41263800994232
"75","0006F245A1",12,1,"15-Aug-14",-0.0310496064352503,-0.878432831463112
"76","0006DECB78",13,2,"15-Aug-14",2.6070882126756,0.432595402572704
"77","0006EA3C24",14,1,"15-Aug-14",1.62767384855109,-1.61962682723371
"78","0006C7576F",15,2,"15-Aug-14",-0.202303208995329,-0.81358814604414
"79","0006DF87B8",16,1,"15-Aug-14",1.12842832015424,-0.055178183520793
"80","0006C751CA",1,2,"26-Aug-14",1.36134625055533,-0.987386037479319
"81","0006C882AE",2,1,"26-Aug-14",0.680265764149774,-1.73038643274193
"82","0006EE23EF",3,2,"27-Aug-14",0.403647429539538,-1.67221946280033
"83","0006EE2ABA",4,1,"27-Aug-14",-2.2728411697933,-0.456358727254154
"84","0006E9055F",5,2,"27-Aug-14",-0.58405171032462,-2.27185814837999
"85","0006C8B1B6",6,1,"27-Aug-14",-4.34196568450948,0.271911730338643
"86","0006C7E968",7,2,"27-Aug-14",-0.779305559968329,-1.19163257181984
"87","0006EA526C",8,1,"27-Aug-14",1.48346017176399,0.0294756809426681
"88","0006F1E3F4",9,2,"27-Aug-14",-0.00171297963578498,-1.1714165276872
"89","0006F2531C",10,1,"27-Aug-14",0.435129852247126,-2.36064037909738
"90","00069D1745",11,2,"27-Aug-14",2.1651913920322,0.198490339314224
"91","0006A947CA",12,1,"27-Aug-14",-0.260286531558842,2.12863507525722
"92","0006A9447B",13,2,"27-Aug-14",1.03214343583216,1.31310253679439
"93","0006F22A75",14,1,"27-Aug-14",1.9931428097149,-1.23090067969602
"94","0006F25504",15,2,"27-Aug-14",-1.5342684907312,-0.140404527959048
"95","0006C88830",16,1,"27-Aug-14",0.917421523457065,-0.605620561157128
"96","0006E90942",1,2,"02-Sep-14",1.49344687927535,0.602465798780778
"97","0006E9EBF1",2,1,"02-Sep-14",1.02792813755478,0.380738405955501
"98","0006E94D43",3,2,"02-Sep-14",-0.314820068679596,0.352409156892147
"99","0006A940CB",4,1,"02-Sep-14",1.11342251256907,0.0226575479442125
"100","0006C88E95",5,2,"03-Sep-14",-0.343284360297377,-0.456923009431091
"101","0006A943A9",6,1,"03-Sep-14",0.487073561920107,-0.729787242452536
"102","0006E942C5",7,2,"03-Sep-14",-0.496094015917721,-0.409387981707439
"103","0006E906DE",8,1,"03-Sep-14",-2.49043890691438,-0.316811091703356
"104","0006C74CD8",9,2,"03-Sep-14",0.798279622041211,1.7293718957424
"105","0006F1E398",10,1,"03-Sep-14",2.81622718543585,0.0584363218140957
"106","0006F23BFF",11,2,"03-Sep-14",1.74098866873674,0.556818963068804
"107","0006D78BD3",12,1,"03-Sep-14",-2.09343277747024,-0.283069567932097
"108","0006F22AD4",13,2,"03-Sep-14",-0.00862630917617617,-1.47630507263641
"109","0006C7537C",14,1,"03-Sep-14",1.18115700213898,0.235191215186282
"110","0006A943D8",15,2,"03-Sep-14",0.363137169409142,-0.938432910523193
"111","0006F24BAA",16,1,"03-Sep-14",-0.370010967888741,0.346305119799874
"112","0006E91947",1,1,"05-Sep-14",0.57183920684422,-1.76540766170112
"113","0006C76169",2,2,"05-Sep-14",-0.30627102960992,-0.878293343259202
"114","0007283AB7",3,1,"05-Sep-14",0.281685972937745,-0.0380762708220871
